"Age","Lili","Pasdefond","Francis","Clo","FFmean"
1160,7.00982666347457,4.97061610112519,5.76152347807192,2.13263785238034,4.968651023763
1170,6.99291625932164,4.9823324896213,5.79000965283387,2.12695768166056,4.97305402085934
1180,6.97521818432635,4.99410641405622,5.81869710880113,2.12164419220887,4.97741647484814
1190,6.95671605743451,5.00591262098447,5.84761302858072,2.11673377242813,4.98174386985696
1200,6.93725067714085,5.01772476193404,5.87674318004841,2.11221885050758,4.98598436740772
1210,6.91681087552717,5.02953033544522,5.90607984627723,2.10807349750724,4.99012363868921
1220,6.89565410421481,5.0413112664319,5.93564092212019,2.10435438888112,4.994240170412
1230,6.87374627459283,5.05303160308925,5.96539028701674,2.10099499527157,4.9982907899926
1240,6.85085537220292,5.06468664807472,5.99536101905333,2.09803311213124,5.00223403786555
1250,6.82724087301248,5.07626421017378,6.02551570472709,2.09545347709569,5.00611856625226
1260,6.80298017568727,5.08774496878966,6.05586490363139,2.09323581483576,5.00995646573602
1270,6.77799625218828,5.09906624118572,6.0864010408066,2.09142710871342,5.0137226607235
1280,6.75216723757924,5.11025324014788,6.11710428924664,2.08996529326076,5.01737251505863
1290,6.72577756523222,5.12129436385483,6.14799266667466,2.08888824464279,5.02098821010113
1300,6.69881565324007,5.13217738193055,6.17902808804341,2.08817347990235,5.02454865077909
1310,6.67115024917395,5.14279823060466,6.21022669449562,2.08780622413041,5.02799534960116
1320,6.64288803758846,5.15321904927037,6.24156203569861,2.08782324606551,5.03137309215574
1330,6.61415945309912,5.16342909955931,6.27302875708745,2.08816767818125,5.03469624698178
1340,6.58494654312239,5.17341696438112,6.30462110049078,2.08887636677829,5.03796524369314
1350,6.55509531201421,5.18306679563984,6.33631389420994,2.0899205260788,5.0410991319857
1360,6.52485921087936,5.19244067577282,6.36811466729136,2.09129044121453,5.04417624878951
1370,6.4942463022629,5.20154339758737,6.39999151775026,2.09301256786516,5.04719844636642
1380,6.46320494525113,5.21036458501857,6.43194157145219,2.09503586088102,5.05013674065073
1390,6.43175379810312,5.21878569142453,6.46394626243634,2.09739490646306,5.05297016460676
1400,6.40002362762132,5.22685311713418,6.49599027106667,2.10005600050716,5.05573075408233
1410,6.36801616132422,5.23459428442033,6.528060663713,2.10301374678094,5.05842121405962
1420,6.3356768913194,5.24200001134878,6.56013896124621,2.10628467700286,5.06102513522931
