"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
2840,7.7774433927243,6.53852859785841,NA,NA,9.7020022782776,8.00599142295344
2850,7.7817475272167,6.52495103996685,NA,NA,9.71622375343725,8.00764077354027
2860,7.78658766540392,6.51110394229412,NA,NA,9.72974979246384,8.00914713338729
2870,7.79200072678031,6.49699084634195,NA,NA,9.74259920511224,8.0105302594115
2880,7.79795564443893,6.48261546706106,NA,NA,9.75471227810925,8.01176112986975
2890,7.80442700612863,6.46797890597596,NA,NA,9.76605330783032,8.0128197399783
2900,7.81140675490806,6.45306209420849,NA,NA,9.77667831066915,8.01371571992857
2910,7.81888582616537,6.43789292975397,NA,NA,9.78654506357904,8.01444127316613
2920,7.8268541528181,6.42247916488312,NA,NA,9.79556333184978,8.01496554985033
2930,7.83531699265305,6.40682545902119,NA,NA,9.8038269974086,8.01532314969428
2940,7.84427291393817,6.39093646618105,NA,NA,9.81130519757546,8.01550485923156
2950,7.8536883979263,6.37481312433646,NA,NA,9.81789559286636,8.01546570504304
2960,7.86353982596061,6.35844139068641,NA,NA,9.82367568332546,8.01521896665749
2970,7.87381200853622,6.34185144023454,NA,NA,9.82864117418214,8.01476820765097
2980,7.88448883591465,6.32504890041639,NA,NA,9.83270898044068,8.01408223892391
2990,7.89555329874423,6.30803958128998,NA,NA,9.83590162878466,8.01316483627295
3000,7.90701148473487,6.29082890939222,NA,NA,9.83825660958959,8.01203233457223
3010,7.9188324434895,6.27341662596529,NA,NA,9.83971259494368,8.01065388813283
3020,7.93098244088236,6.25580062798357,NA,NA,9.8402325083757,8.00900519241388
3030,7.94343902326134,6.2380044288331,NA,NA,9.83989832470833,8.00711392560093
3040,7.95618085649964,6.22003479180211,NA,NA,9.8386725197568,8.00496272268618
3050,7.96918588341012,6.20189865463822,NA,NA,9.83645518744051,8.00251324182962
3060,7.98243594931748,6.18360238618405,NA,NA,9.83337010635295,7.99980281395149
3070,7.99591517303297,6.16514599549818,NA,NA,9.8293934273709,7.99681819863402
3080,8.00958815475836,6.14653655575798,NA,NA,9.82442182620185,7.9935155122394
3090,8.02342430418364,6.1277918270395,NA,NA,9.8185497074152,7.98992194621278
3100,8.03739836225175,6.10891962449734,NA,NA,9.81178673830379,7.98603490835096
3110,8.05148459278386,6.08992791693161,NA,NA,9.80405527774214,7.9818225958192
3120,8.06565682643413,6.07082414074786,NA,NA,9.79538698210571,7.97728931642923
3130,8.07988983026836,6.05161027933758,NA,NA,9.78583676888069,7.97244562616221
3140,8.09415317970801,6.03229890256868,NA,NA,9.77535361730423,7.96726856652697
3150,8.10841666750782,6.01290330822097,NA,NA,9.7639063400592,7.96174210526266
3160,8.1226522789663,5.99343219543493,NA,NA,9.75159441875765,7.95589296438629
3170,8.13683233878648,5.97389438226805,NA,NA,9.73839365984952,7.94970679363469
3180,8.15092904128346,5.95429843090259,NA,NA,9.72421187149115,7.9431464478924
3190,8.16491318550698,5.93465015949685,NA,NA,9.70918666446928,7.9362500031577
3200,8.17874442203884,5.91496315237743,NA,NA,9.6933074201527,7.92900499818966
3210,8.19239889750563,5.89524788277612,NA,NA,9.67648932304179,7.92137870110785
3220,8.2058527334335,5.87551367810132,NA,NA,9.65883044455748,7.91339895203077
3230,8.21907829050222,5.85576993634274,NA,NA,9.6403551586815,7.90506779517549
3240,8.23204812489846,5.8360263187254,NA,NA,9.62100682535696,7.89636042299361
3250,8.24473504003428,5.81629436777697,NA,NA,9.60082319910974,7.887284202307
3260,8.25709731163578,5.79658362818119,NA,NA,9.57986896738334,7.87784996906677
3270,8.26910060052179,5.77690365334183,NA,NA,9.55811432042237,7.868039524762
3280,8.28073068593958,5.7572640619045,NA,NA,9.53554220727376,7.85784565170594
3290,8.29196735052629,5.73767459321895,NA,NA,9.51225303796748,7.84729832723758
3300,8.30278555848385,5.71814668057194,NA,NA,9.48824166808393,7.83639130237991
3310,8.3131608402619,5.69869630833052,NA,NA,9.46344371578262,7.82510028812501
3320,8.32306934031783,5.67932696699751,NA,NA,9.43798593736642,7.81346074822725
3330,8.33244785934212,5.66004821172839,NA,NA,9.41187403391752,7.80145670166267
3340,8.34129136093903,5.64086955162911,NA,NA,9.38505929525899,7.78907340260904
3350,8.34959535838401,5.62180089603491,NA,NA,9.35762726459313,7.77634117300402
3360,8.35734011776288,5.6028570240508,NA,NA,9.32961239749022,7.76326984643463
3370,8.36450578567597,5.58405302565928,NA,NA,9.30099094976393,7.74984992036639
3380,8.37107339911307,5.56538854215589,NA,NA,9.27180236567207,7.73608810231367
3390,8.37700599610962,5.54687265276169,NA,NA,9.24210789859097,7.72199551582076
3400,8.38226254013548,5.5285143204404,NA,NA,9.21190505960627,7.70756064006072
3410,8.38685282068378,5.51032338752567,NA,NA,9.18119783782821,7.69279134867922
3420,8.39077601181866,5.49231932720898,NA,NA,9.1500664398739,7.67772059296718
3430,8.39401845771686,5.47451115738247,NA,NA,9.11852526255291,7.66235162588408
3440,8.39656760712116,5.45689687278359,NA,NA,9.08655488731572,7.64667312240682
3450,8.39841204015091,5.4394846378149,NA,NA,9.0542441110351,7.63071359633364
3460,8.39949515722212,5.42228243317467,NA,NA,9.02161362453279,7.61446373830986
3470,8.39982041854023,5.40529975380343,NA,NA,8.98866098852593,7.5979270536232
3480,8.39940688748327,5.38856177616195,NA,NA,8.95544465847287,7.58113777403936
3490,8.39825374031299,5.37206678065702,NA,NA,8.92200008091545,7.56410686729515
3500,8.39635589779497,5.3558132625609,NA,NA,8.88834080515028,7.54683665516872
3510,8.39370953212378,5.33980806780945,NA,NA,8.85450341919414,7.52934033970912
3520,8.39029979760231,5.32405780071592,NA,NA,8.82053062183307,7.5116294067171
3530,8.38608333659007,5.3085713115845,NA,NA,8.78644653372521,7.49370039396659
3540,8.38109369222403,5.29338003003011,NA,NA,8.75227961753952,7.47558444659789
3550,8.37535352279247,5.27846780678714,NA,NA,8.71807039006193,7.45729723988052
3560,8.36886573366781,5.26383554170851,NA,NA,8.68384783655036,7.43884970397556
3570,8.36163450924107,5.24948843657241,NA,NA,8.64964645051309,7.42025646544219
3580,8.35366530859321,5.23543151315987,NA,NA,8.61549569089028,7.40153083754778
3590,8.3449285116312,5.2216735350377,NA,NA,8.58142594628955,7.38267599765282
3600,8.33543159789948,5.20824906761963,NA,NA,8.54748073591505,7.36372046714472
3610,8.32521315992067,5.19512853534928,NA,NA,8.51368276453928,7.34467481993641
3620,8.31429372036218,5.18231558965991,NA,NA,8.48005785294833,7.32555572099014
3630,8.30268530459891,5.16981358016421,NA,NA,8.44665254208169,7.30638380894827
3640,8.29040113128866,5.1576262546571,NA,NA,8.41349704797111,7.28717481130562
3650,8.27745365949313,5.14576621516944,NA,NA,8.38060330847668,7.26794106104641
3660,8.26381060047666,5.13425522293304,NA,NA,8.34801495706042,7.24869359349004
3670,8.24952005264357,5.12306593503016,NA,NA,8.31578357539839,7.22945652102404
3680,8.2346220915009,5.11220009041606,NA,NA,8.28389841489267,7.21024019893655
3690,8.21913583786355,5.10165912786404,NA,NA,8.25239481360377,7.19106325977712
3700,8.203081437734,5.09144549473853,NA,NA,8.22135716162706,7.17196136469986
3710,8.18648002877123,5.08157580077473,NA,NA,8.1907485114711,7.15293478033902
3720,8.16933536337409,5.0720570778242,NA,NA,8.16060080616129,7.13399774911986
3730,8.15166158895263,5.06286604257535,NA,NA,8.13099305219802,7.115173561242
3740,8.13350518669255,5.05400260365255,NA,NA,8.10191154190079,7.09647311074863
3750,8.11490091238019,5.04546639836836,NA,NA,8.07336388934386,7.0779104000308
3760,8.09587451311637,5.03725865619611,NA,NA,8.04541815146727,7.05951710692658
3770,8.07645247786701,5.02939977860674,NA,NA,8.0180961568521,7.04131613777528
3780,8.05666199311918,5.02188173836057,NA,NA,7.99137374492914,7.02330582546963
3790,8.03650927932081,5.01468654211808,NA,NA,7.96530292647984,7.00549958263958
3800,8.01603601350666,5.00781252111924,NA,NA,7.93995198339357,6.98793350600649
3810,7.99528431700705,5.00125779041604,NA,NA,7.91525900793792,6.970600371787
3820,7.97428527925748,4.99502256885283,NA,NA,7.89125732104826,6.95352172305286
3830,7.9530689859047,4.9891305709283,NA,NA,7.86806256167456,6.93675403950252
3840,7.93166591695644,4.98355980869404,NA,NA,7.84558309725813,6.9202696076362
3850,7.91010419563296,4.97829821533364,NA,NA,7.82384300136653,6.90408180411104
3860,7.8884129222698,4.97334295390703,NA,NA,7.80293912340722,6.88823166652802
3870,7.86663127032428,4.96869104850697,NA,NA,7.78282807641267,6.87271679841464
3880,7.84479432256684,4.96434204220539,NA,NA,7.76349541252582,6.85754392576602
3890,7.82293379405258,4.96032240550887,NA,NA,7.74501525771966,6.84275715242704
3900,7.80108147175161,4.95659832402317,NA,NA,7.72740018620773,6.82835999399417
3910,7.77926916366812,4.95316379425303,NA,NA,7.71059317649108,6.81434204480408
3920,7.75753525781439,4.95001534194568,NA,NA,7.69464249674331,6.80073103216779
3930,7.73591430146067,4.94714972223308,NA,NA,7.67962232339853,6.78756211569743
3940,7.7144358155146,4.94456884001256,NA,NA,7.6654312762692,6.77481197726545
3950,7.69313025968186,4.94229208533413,NA,NA,7.65209334611505,6.76250523037702
3960,7.6720287139294,4.94028638810639,NA,NA,7.63973089202219,6.75068199801933
3970,7.65116196643374,4.93854820119274,NA,NA,7.62821958380058,6.73930991714236
3980,7.63056371313184,4.93707401248497,NA,NA,7.61756912713175,6.72840228424952
3990,7.61028639273111,4.93586103637729,NA,NA,7.60787360795344,6.71800701235395
4000,7.59034864140098,4.93491539540166,NA,NA,7.59907151571708,6.7081118508399
4010,7.57077094877382,4.93424463938937,NA,NA,7.59112827564101,6.69871462126806
4020,7.55158180182688,4.93382377977244,NA,NA,7.58410825699413,6.68983794619782
4030,7.53280911657588,4.93364973996826,NA,NA,7.57801428809634,6.68149104821349
4040,7.51448019847175,4.93371957069893,NA,NA,7.57276761245773,6.67365579387614
4050,7.49664429915697,4.93403146965913,NA,NA,7.56840240062882,6.66635938981497
4060,7.47933593138602,4.93459585502892,NA,NA,7.56498500962664,6.65963893201386
