"Age","Lili","Pasdefond","Francis","Clo","BBmean"
1210,-0.123132523328701,0.796543479598606,0.669948175885139,0.259344368989312,0.400675875286089
1220,-0.123010354336247,0.7799532652952,0.650719901973475,0.251000995074703,0.389665952001783
1230,-0.122131914522381,0.760536718726091,0.631357453169456,0.245013881530043,0.378694034725802
1240,-0.120462245348688,0.738474214084201,0.611866817111946,0.241668887024253,0.367886918217928
1250,-0.117966388276753,0.713946125562455,0.592253981439808,0.241251870226253,0.357371397237941
1260,-0.11460938476816,0.687132827353778,0.572524933791905,0.244048689804966,0.347274266545622
1270,-0.110357746801148,0.658214693651093,0.552685661807101,0.250029841787888,0.337643112611233
1280,-0.106743111948107,0.627372098647325,0.532742153124258,0.256538566298707,0.327477426530546
1290,-0.104999073544556,0.594785416535397,0.51270039538224,0.262873073710387,0.316339953020867
1300,-0.104919244864436,0.563271834587284,0.49256637621991,0.268985617370235,0.304976145828248
1310,-0.106297239181688,0.535488502860371,0.472346083276131,0.274828450625558,0.294091449395093
1320,-0.108926669770253,0.51084000043373,0.452045504189767,0.280353826823664,0.283578165419227
1330,-0.112601149904074,0.488728035828339,0.431670626599681,0.285513999311861,0.273327877958952
1340,-0.11711429285709,0.468554317565178,0.411437470220444,0.290261221437455,0.263284679091497
1350,-0.122259711903244,0.449720554165225,0.392991723596056,0.294547746547755,0.253750078101448
1360,-0.127831020316476,0.43162845414946,0.376692918304426,0.298325827990067,0.244704045031869
1370,-0.133621831370728,0.413679726038862,0.362553743440298,0.301547719111699,0.236039839305033
1380,-0.139425758339941,0.39527607835441,0.350586888098418,0.304165673259959,0.227650720343211
1390,-0.145036414498057,0.375819219617082,0.340805041373528,0.306131943782153,0.219429947568677
1400,-0.150247413119016,0.354710858347858,0.333220892360373,0.307401819125039,0.211271539178563
1410,-0.154834856978866,0.331352703067717,0.327847130153698,0.309415047372723,0.203445005903818
1420,-0.158742685848839,0.307978150379321,0.324696443848246,0.313298632698445,0.196807635269293
1430,-0.162147514765361,0.288723010484567,0.323781522538762,0.318910443670941,0.192316865482227
1440,-0.165232834375405,0.273432362998491,0.325115055319989,0.326108348858945,0.189855733200505
1450,-0.168182135325947,0.261894504723756,0.328709731286672,0.334750216831192,0.189293079378918
1460,-0.171178908263961,0.253897732463026,0.334578239533556,0.344693916156416,0.190497744972259
1470,-0.174406643836422,0.249230343018966,0.342733269155384,0.355797315403354,0.193338570935321
1480,-0.178048832690303,0.24768063319424,0.3531875092469,0.36791828314074,0.197684398222894
1490,-0.182288965472581,0.249036899791513,0.365953648902849,0.380914687937309,0.203404067789772
1500,-0.187310532830229,0.253087439613447,0.381044377217975,0.394644398361795,0.210366420590747
1510,-0.193297025410222,0.259620549462708,0.398472383287022,0.408965282982935,0.218440297580611
1520,-0.200431933859534,0.268424526141959,0.418250356204734,0.423735210369462,0.227494539714155
1530,-0.208898748825141,0.279287666453865,0.440390985065856,0.438812049090113,0.237397987946173
1540,-0.218681778059247,0.289906029896272,0.464906958965131,0.453587133497926,0.24742958607502
1550,-0.228292689196469,0.295862862204581,0.491810966997304,0.466676777088455,0.256514479273468
1560,-0.237258379203629,0.297522539662305,0.521097128321685,0.478194017511851,0.264888826573053
1570,-0.245416783952371,0.295419419987744,0.552462979793418,0.488354100470259,0.272704929074763
1580,-0.252605839314336,0.290087860899196,0.585584896750322,0.497372271665823,0.280109797500251
1590,-0.258663481161167,0.282062220114963,0.620186162241473,0.505463776800688,0.287262169498989
1600,-0.263427645364506,0.271876855353343,0.655990059315949,0.512843861576998,0.294320782720446
1610,-0.266736267795995,0.260066124332636,0.692719871022824,0.519727771696897,0.30144437481409
1620,-0.268427284327277,0.247164384771142,0.730098880411175,0.526330752862531,0.308791683429393
1630,-0.268338630829992,0.23370599438716,0.767850370530079,0.532868050776044,0.316521446215823
1640,-0.266308243175785,0.22022531089899,0.80569762442861,0.53955491113958,0.324792400822849
1650,-0.262174057236296,0.207256692024932,0.843363925155846,0.546606579655284,0.333763284899942
1660,-0.255774008883168,0.196004286925721,0.880572555760863,0.5542383020253,0.343760283957179
1670,-0.246955167019692,0.188505761682905,0.917046799292736,0.562750518866081,0.355336978205508
1680,-0.236180362503485,0.184350516449862,0.952509938800542,0.573326503458692,0.368501649051403
1690,-0.223836601691913,0.182971640426008,0.986685257333358,0.585997171178965,0.382954366811604
1700,-0.209999006302198,0.18380222281076,1.01929603794026,0.600392179650847,0.398372858524917
1710,-0.194742698051564,0.186275352803536,1.05006556367032,0.61614118649829,0.414434851230145
1720,-0.178142798657232,0.189824119603751,1.07871711757262,0.632873849345244,0.430818071966095
1730,-0.160274429836425,0.193881612410822,1.10497398269623,0.650219825815657,0.447200247771571
1740,-0.141212713306365,0.197880920424167,1.12855944209023,0.667808773533481,0.463259105685379
1750,-0.121032770784275,0.201255132843203,1.1491967788037,0.685270350122664,0.478672372746323
1760,-0.0998097239873759,0.203437338867345,1.16660927588571,0.702234213207158,0.493117775993209
1770,-0.0776186946328914,0.203860627696011,1.18052021638534,0.718330020410911,0.506273042464842
1780,-0.0545348044380435,0.202209004562441,1.19071817654537,0.733187429357874,0.517894951506911
