depth	min.95	max.95	median	mean
419	7311	7615	7447	7449
419.5	7315	7640	7457	7460
420	7318	7665	7467	7472
420.5	7330	7666	7474	7481
421	7339	7668	7484	7489
421.5	7348	7671	7493	7498
422	7355	7675	7500	7506
422.5	7368	7682	7509	7515
423	7378	7687	7517	7524
423.5	7382	7693	7528	7532
424	7387	7700	7539	7541
424.5	7391	7709	7550	7549
425	7394	7716	7559	7558
425.5	7407	7720	7567	7566
426	7418	7725	7575	7574
426.5	7427	7730	7583	7583
427	7434	7736	7590	7591
427.5	7441	7745	7600	7599
428	7450	7756	7608	7607
428.5	7455	7768	7617	7616
429	7462	7780	7624	7624
429.5	7471	7794	7631	7632
430	7477	7811	7638	7640
430.5	7489	7815	7648	7649
431	7502	7818	7657	7657
431.5	7512	7823	7666	7666
432	7518	7827	7675	7675
432.5	7526	7830	7685	7683
433	7530	7834	7695	7692
433.5	7535	7839	7705	7700
434	7540	7845	7714	7709
434.5	7544	7857	7722	7718
435	7546	7872	7732	7726
435.5	7557	7874	7739	7734
436	7568	7877	7748	7741
436.5	7577	7879	7756	7749
437	7586	7881	7764	7756
437.5	7595	7884	7772	7764
438	7600	7888	7780	7771
438.5	7608	7893	7788	7779
439	7615	7899	7795	7786
439.5	7624	7908	7803	7794
440	7631	7919	7809	7801
440.5	7655	7921	7818	7810
441	7679	7923	7825	7819
441.5	7701	7925	7833	7828
442	7722	7926	7840	7837
442.5	7743	7928	7846	7845
443	7763	7931	7853	7854
443.5	7784	7935	7860	7863
444	7801	7939	7868	7872
444.5	7815	7945	7876	7881
445	7825	7953	7883	7890
445.5	7851	7962	7897	7906
446	7869	7980	7919	7923
446.5	7881	8006	7939	7939
447	7890	8037	7955	7956
447.5	7896	8068	7969	7972
448	7902	8100	7983	7989
448.5	7908	8132	7997	8005
449	7913	8165	8012	8022
449.5	7918	8203	8026	8038
450	7922	8239	8041	8055
450.5	7943	8244	8056	8071
451	7957	8250	8073	8087
451.5	7968	8260	8090	8104
452	7979	8279	8107	8120
452.5	7988	8301	8125	8136
453	7998	8326	8142	8152
453.5	8006	8353	8160	8169
454	8013	8380	8178	8185
454.5	8017	8412	8197	8201
455	8020	8445	8215	8217
455.5	8040	8456	8229	8233
456	8053	8466	8247	8249
456.5	8061	8478	8263	8265
457	8066	8491	8283	8280
457.5	8072	8508	8299	8296
458	8078	8531	8318	8312
458.5	8085	8559	8331	8328
459	8091	8586	8342	8344
459.5	8098	8622	8357	8359
460	8105	8658	8372	8375
460.5	8116	8666	8384	8388
461	8127	8676	8398	8401
461.5	8135	8683	8412	8414
462	8146	8690	8427	8426
462.5	8156	8699	8440	8439
463	8165	8713	8455	8452
463.5	8172	8741	8471	8465
464	8176	8766	8490	8478
464.5	8184	8798	8504	8491
465	8188	8819	8516	8503
465.5	8214	8829	8527	8519
466	8238	8840	8541	8534
466.5	8259	8855	8557	8550
467	8286	8867	8571	8565
467.5	8311	8881	8587	8581
468	8339	8897	8599	8596
468.5	8361	8913	8609	8612
469	8380	8929	8619	8627
469.5	8401	8946	8633	8643
470	8418	8959	8645	8659
470.5	8450	8962	8663	8675
471	8486	8964	8681	8691
471.5	8518	8967	8693	8708
472	8545	8969	8708	8724
472.5	8569	8971	8722	8741
473	8592	8973	8736	8757
473.5	8606	8975	8752	8774
474	8621	8978	8769	8790
474.5	8631	8984	8785	8806
475	8639	8997	8803	8823
475.5	8669	8998	8817	8835
